#header_line 1: mpirun --map-by node --mca pml ucx -mca btl ^uct -x UCX_NET_DEVICES=br0 -np 2 PingPong -msglog 28 | grep -v ^\# | grep -v '^$' | sed -r 's/^\s+//;s/\s+/,/g'
#header_line 2: ct1pt-tnode007.hpcct1pt-tnode010.hpc
#header_line 3: Latency=17.2174 Bandwidth=1960.9677
#header_line :#bytes, #repetitions,t[usec],Mbytes/sec,t[usec](computed),Mbytes/sec(computed)
0.000,1000,17.185,0.000,17.217,0.000
1.000,1000,17.217,0.000,17.218,0.058
2.000,1000,17.221,0.100,17.218,0.116
4.000,1000,17.233,0.200,17.219,0.232
8.000,1000,17.231,0.420,17.221,0.465
16.000,1000,17.228,0.900,17.226,0.929
32.000,1000,17.260,1.840,17.234,1.857
64.000,1000,17.363,3.660,17.250,3.710
128.000,1000,18.006,7.110,17.283,7.406
256.000,1000,18.155,14.160,17.348,14.757
512.000,1000,18.354,28.070,17.478,29.293
1024.000,1000,18.767,54.860,17.740,57.724
2048.000,1000,41.286,49.610,18.262,112.147
4096.000,1000,42.098,97.360,19.306,212.160
8192.000,1000,71.831,114.750,21.395,382.894
16384.000,1000,50.542,324.590,25.572,640.689
32768.000,1000,101.712,322.990,33.928,965.824
65536.000,640,115.213,569.990,50.638,1294.215
131072.000,320,143.423,915.440,84.058,1559.307
262144.000,160,250.808,1052.420,150.898,1737.223
524288.000,80,351.264,1501.520,284.579,1842.327
1048576.000,40,553.542,1903.190,551.941,1899.797
2097152.000,20,970.996,2173.110,1086.665,1929.898
4194304.000,10,1997.167,2135.300,2156.112,1945.309
8388608.000,5,4275.012,1985.740,4295.007,1953.107
16777216.000,2,8603.003,1970.870,8572.798,1957.029
33554432.000,1,17345.675,1949.610,17128.378,1958.997
67108864.000,1,34388.246,1968.640,34239.538,1959.982
134217728.000,1,68520.159,1977.020,68461.859,1960.474
268435456.000,1,136814.844,1980.460,136906.500,1960.721
