#header_line 1: mpirun --map-by core -np 2 PingPong -msglog 28 | grep -v ^\# | grep -v '^$' | sed -r 's/^\s+//;s/\s+/,/g'
#header_line 2: ct1pt-tnode007.hpc
#header_line 3: Latency=0.2042 Bandwidth=6445.8718
#header_line :#bytes, #repetitions,t[usec],Mbytes/sec,t[usec](computed),Mbytes/sec(computed)
0.000,1000,0.206,0.000,0.204,0.000
1.000,1000,0.204,4.820,0.204,4.893
2.000,1000,0.205,9.680,0.205,9.779
4.000,1000,0.203,19.490,0.205,19.529
8.000,1000,0.203,39.180,0.205,38.941
16.000,1000,0.202,78.410,0.207,77.414
32.000,1000,0.238,134.990,0.209,152.990
64.000,1000,0.237,270.300,0.214,298.885
128.000,1000,0.324,394.650,0.224,571.281
256.000,1000,0.353,728.820,0.244,1049.544
512.000,1000,0.392,1301.650,0.284,1805.164
1024.000,1000,0.499,2056.500,0.363,2820.460
2048.000,1000,0.754,2711.500,0.522,3923.952
4096.000,1000,1.127,3635.480,0.840,4878.249
8192.000,1000,1.869,4388.080,1.475,5553.556
16384.000,1000,2.947,5560.340,2.746,5966.536
32768.000,1000,4.724,6934.190,5.288,6196.949
65536.000,640,8.031,8160.640,10.371,6318.960
131072.000,320,14.451,9069.630,20.538,6381.785
262144.000,160,12.627,20761.180,40.873,6413.668
524288.000,80,22.529,23275.170,81.541,6429.730
1048576.000,40,52.898,19826.240,162.878,6437.791
2097152.000,20,137.470,15256.610,325.552,6441.829
4194304.000,10,307.436,13645.360,650.900,6443.850
8388608.000,5,877.737,9558.330,1301.597,6444.861
16777216.000,2,2291.503,7321.810,2602.989,6445.366
33554432.000,1,5212.211,6437.740,5205.773,6445.619
67108864.000,1,10440.283,6427.860,10411.343,6445.745
134217728.000,1,20877.563,6428.800,20822.481,6445.809
268435456.000,1,41649.303,6445.110,41644.758,6445.840
