#header_line 1: mpirun --map-by node -np 2 PingPong -msglog 28 | grep -v ^\# | grep -v '^$' | sed -r 's/^\s+//;s/\s+/,/g'
#header_line 2: ct1pt-tnode007.hpcct1pt-tnode010.hpc
#header_line 3: Latency=1.0076 Bandwidth=12169.4713
#header_line :#bytes, #repetitions,t[usec],Mbytes/sec,t[usec](computed),Mbytes/sec(computed)
0.000,1000,0.988,0.000,1.008,0.000
1.000,1000,1.056,0.960,1.008,0.992
2.000,1000,1.002,1.960,1.008,1.985
4.000,1000,1.001,3.970,1.008,3.969
8.000,1000,0.991,8.000,1.008,7.934
16.000,1000,0.994,16.030,1.009,15.859
32.000,1000,1.019,31.440,1.010,31.676
64.000,1000,1.147,55.800,1.013,63.187
128.000,1000,1.198,106.760,1.018,125.722
256.000,1000,1.427,179.520,1.029,248.873
512.000,1000,1.496,342.380,1.050,487.771
1024.000,1000,1.651,620.300,1.092,937.948
2048.000,1000,2.326,880.950,1.176,1741.660
4096.000,1000,3.190,1284.130,1.344,3047.211
8192.000,1000,4.462,1834.970,1.681,4873.986
16384.000,1000,6.251,2621.350,2.354,6960.305
32768.000,1000,8.405,3898.680,3.700,8855.643
65536.000,640,12.244,5352.340,6.393,10251.406
131072.000,320,18.403,7122.670,11.778,11128.395
262144.000,160,31.991,8194.040,22.549,11625.673
524288.000,80,55.098,9521.270,44.090,11891.358
1048576.000,40,97.401,10765.900,87.172,12028.807
2097152.000,20,183.720,11415.940,173.337,12098.731
4194304.000,10,352.602,11895.240,345.665,12133.998
8388608.000,5,692.419,12114.910,690.323,12151.709
16777216.000,2,1381.039,12148.240,1379.639,12160.584
33554432.000,1,2759.494,12159.610,2758.271,12165.026
67108864.000,1,5515.895,12166.430,5515.533,12167.248
134217728.000,1,11012.777,12187.430,11030.059,12168.360
268435456.000,1,22067.090,12164.490,22059.111,12168.915
